group,position,team_id
A,1,mexico
A,2,south-africa
A,3,korea-republic
A,4,czechia
B,1,canada
B,2,bosnia-and-herzegovina
B,3,qatar
B,4,switzerland
C,1,brazil
C,2,morocco
C,3,haiti
C,4,scotland
D,1,united-states
D,2,paraguay
D,3,australia
D,4,turkiye
E,1,germany
E,2,curacao
E,3,cote-divoire
E,4,ecuador
F,1,netherlands
F,2,japan
F,3,sweden
F,4,tunisia
G,1,belgium
G,2,egypt
G,3,iran
G,4,new-zealand
H,1,spain
H,2,cabo-verde
H,3,saudi-arabia
H,4,uruguay
I,1,france
I,2,senegal
I,3,iraq
I,4,norway
J,1,argentina
J,2,algeria
J,3,austria
J,4,jordan
K,1,portugal
K,2,congo-dr
K,3,uzbekistan
K,4,colombia
L,1,england
L,2,croatia
L,3,ghana
L,4,panama
