team_id,fifa_code,model_version,default_formation,attack,midfield,defense,goalkeeping,depth,set_pieces,overall,lineup_player_ids,lineup_roles,confidence_score,uncertainty,is_estimated
algeria,ALG,rating-model-2026.06.24-v1,4-3-3,69,69,69,72,70,70,70,7c992aeb-94fa-5854-b865-9e6cfe3aa567|41e5d6d1-5323-5443-a256-6ae2b337e3a0|f65158e1-30fa-5bfe-b4b1-324575b58690|fcee07ef-57ec-516a-8c74-e8a0549cc70e|00795a93-8d2a-54a4-b3b0-ba8cb81a79df|20d5bb1e-e85b-52f2-9237-e6697a4067fd|8c2666b9-53ed-5e2b-a0a6-640dfccb2146|c0da1cd0-4440-5b11-b731-7aa26ab51eae|bbd9e9c9-86b4-52bc-a05e-3c8bfd09dd8c|56fe0ab7-7e19-5890-907e-fc56adfaf40e|953fb38b-4e62-5922-8d7b-30512c5f11d6,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.643,0.357,true
argentina,ARG,rating-model-2026.06.24-v1,4-3-3,70,71,70,78,72,73,72,d3696586-0101-59b6-a934-7e20550fbd14|461fcc29-23ee-5ddf-9b6d-a03122654d07|8190492a-55b0-5965-ae21-fe5cff6caf29|069eee74-e120-5c6d-b6e5-ea53a9d9dcfb|29f1c4b4-80c4-5b3e-b3ce-cfb02bb38f56|1fd6a19d-22ac-57ce-9deb-b0c8a981953f|3573eb67-4ed2-59d2-8061-736cd1213416|0f6dfdf6-e6ce-51a6-8725-092ae0b7e409|633de4cf-a570-5a73-bac8-0c05129543d9|df195676-eadf-51a7-ac2c-73b8db193329|18225503-ca9e-52ad-b8e4-092741a98d77,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.673,0.327,true
australia,AUS,rating-model-2026.06.24-v1,4-3-3,69,70,69,75,69,71,70,b2be85e0-69f1-5d92-b48b-4be74a8c174e|1149a5f0-41f9-5aa9-8d20-54dc0e258cd8|589c0688-ebff-5d4e-bf88-6bc7ffbfe443|99674480-93bb-5212-970a-e4820213367e|8dbcc0a8-8520-5aa3-a372-af07cb370aa7|1c69658f-e6ee-5eb2-907f-e98a7b86a5c7|cd7072a5-62d5-50ed-962c-d546e335af30|f77ad7dd-bfd1-5232-aaf4-1b6ff70f8938|bb519a25-1a51-5599-86ea-c2453630a760|16a647f7-3a4f-58f0-a945-c6962f8d501a|fc9879a8-a21f-5eeb-af09-5350fb2a9a1e,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.638,0.362,true
austria,AUT,rating-model-2026.06.24-v1,4-3-3,69,70,70,75,71,71,71,cb8872b6-a672-5332-816c-8172c6d0ab32|0b427c06-34cd-5c4e-ad4a-6a0edd1f03cf|938aa600-5745-5c78-aee9-1ce24eaa8772|9f7bc329-ec0a-5231-ac39-4c0a076b5021|02e33741-224b-5773-a781-16ff2e814ebc|17b6130d-7027-5f4d-b999-2f6c040e5365|8fee4361-3ba9-5c8f-8b09-0c2a25b1d43c|bdc02d77-5a7e-5a20-8739-9c72360f612b|8ed15ddf-289a-5597-96b6-a496fbc187b3|b1712c91-d5ff-5bdd-9d00-9a007951aaac|ab29ec63-c1fa-5432-8a6d-00a3ecc76363,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.654,0.346,true
belgium,BEL,rating-model-2026.06.24-v1,4-3-3,70,70,70,78,70,73,71,913725fe-860d-5528-b263-904ea2d8060e|1eff9d07-c8b6-5a56-920e-1a02e0d5f106|97399eba-43b3-580a-bc6d-82000f377ab2|d9366291-3389-5d03-be0c-bdd4c2186a00|929bf784-3783-5ea2-bb35-68bf42b87956|26c665be-f74f-53f7-877d-020c1340e0cc|c21e0dc9-d7bf-56ae-9d65-4f338e66eb10|40222de9-bb15-51e6-9154-79f92aa4ca6f|23f2d263-64d4-52f4-9046-bfccb66b9b21|d677fd74-24a6-5ce9-856d-ef78e83ae365|f8a6f458-3180-53d4-a2d2-f653dc610d61,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.661,0.339,true
bosnia-and-herzegovina,BIH,rating-model-2026.06.24-v1,4-3-3,67,67,68,74,68,70,68,d89d6dee-3635-5c4e-b253-092d4acf7acf|fd6d49c2-40f3-564d-838f-4b59ebfa7bff|3fbdb307-0e28-5803-8eb1-c454d31d649a|8b8a6e73-fe9a-5e0a-bda3-7a5aec98c89f|0a7b668b-8e2e-532f-ac1b-fe654f7e9582|bd280ae1-b094-5d87-b383-49318c11fb15|cab7e64b-0afd-5b73-a3dd-ed7c5f8c1c3d|1d3c1c48-fa4a-5d7c-9810-cb5a657fb3ac|702ad0d5-d985-54bb-bd48-97f5e343fe2b|3738f6d0-d36c-5efa-b774-72e73cd35c88|2da2c919-2465-5d52-8b23-dab93e854c15,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.618,0.382,true
brazil,BRA,rating-model-2026.06.24-v1,4-3-3,70,71,70,77,71,72,71,606192d7-c9c1-5c04-a00c-c4579ce6fd2b|5708201c-0641-511a-adde-76df329c6391|584f1903-2368-51cb-8059-7015b3c70fe8|7b6731a2-320c-5173-8622-5a29d24dd88d|acdad5c3-b981-587b-bc46-18a16a44e080|1f21ef03-2f37-5709-813e-29a36afe3e5a|08bf38e1-579f-5ae2-9072-de5881acf2a5|de2339f3-7ac0-549e-a56b-accc99f6cbe0|0e33080a-f15d-5e58-a61f-1292459ef18b|6fa8caaf-2666-5844-a10f-d341b8e4e64e|281d9b96-419d-5101-9519-af5e9f18970c,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.661,0.339,true
cabo-verde,CPV,rating-model-2026.06.24-v1,4-3-3,67,68,67,72,68,69,68,2d917013-b543-5f82-bbf0-125e04894e78|77f886c8-01f7-5a4d-82d5-684b4fc4d783|f187d93a-3fe2-5194-9275-2affdef3a34b|ec4249d5-5125-526b-86e4-a17f7171b34a|805e34de-758d-5d42-9d8a-4d8c090427dc|84996102-c89f-546d-9047-531e4ca7f25f|b04138f1-3a8a-5b87-ba72-7a81715ee88a|c6f21bd1-e1f5-5b54-bfb6-e8bf007ee7e7|029ba144-0357-51e0-9b57-0c1367d0623b|3cdaf854-ff5f-508b-bbc3-9c2d20efcee7|b8db7084-0df3-5632-9197-82d5f8c0c193,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.632,0.368,true
canada,CAN,rating-model-2026.06.24-v1,4-3-3,70,69,69,74,70,71,70,57264da7-4c4d-5bcc-bfa0-11c2c087eec1|69d20336-a92f-5abe-9892-39bf259e9e5c|cd659a36-e8bb-51eb-8423-5875cc04a134|d1497e97-c066-528d-9e5c-2ad4eed7ccb1|f5bc413d-56c6-5694-b4e0-a98ac7fd36e1|0603f19c-7be3-5933-9838-2f89273fb097|0edb7abe-8432-58d8-bbee-3eda558eb5a2|30c1d651-b68e-59ae-8258-4d09290ee0a6|ddf0dc31-8cb0-57c7-905f-ffa4a21711aa|22070799-6991-531b-97f3-b4e748183d8c|3e161900-dbbd-5889-9195-8f0dc07650c3,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.655,0.345,true
colombia,COL,rating-model-2026.06.24-v1,4-3-3,69,70,70,75,71,71,71,1148200d-6e14-56d1-9e01-08372807c8b7|1ee120e3-da62-556e-aa93-97cdcef96886|5e1daa78-ac9b-5c53-968e-66428aa2738d|df6df0b9-134c-53a2-b5ab-afc80a8feacc|fa522d92-9e4b-5ea6-aaf0-e623cd0dd762|4777c945-9191-578e-b65c-df69340f54ee|544a0553-28e5-59a8-8f35-1b9618f5e773|c6124b3b-2d50-59bc-91ed-fb1e323cedc4|c5629949-c1e8-5258-913a-1956a5236eca|4ea26674-6249-5c43-b82a-c50c7013f569|8225bcab-3f27-51e2-8edc-a2bd58952825,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.664,0.336,true
